"ID","Active (0/1)","Name *","Categories (x","y","z...)","Price tax excluded or Price tax included","Tax rules ID","Wholesale price","On sale (0/1)","Discount amount","Discount percent","Discount from (yyyy-mm-dd)","Discount to (yyyy-mm-dd)","Reference #","Supplier reference #","Supplier","Manufacturer","EAN13","UPC","Ecotax","Width","Height","Depth","Weight","Quantity","Minimal quantity","Visibility","Additional shipping cost","Unity","Unit price","Short description","Description","Tags (x","y","z...)","Meta title","Meta keywords","Meta description","URL rewritten","Text when in stock","Text when backorder allowed","Available for order (0 = No"," 1 = Yes)","Product available date","Product creation date","Show price (0 = No"," 1 = Yes)","Image URLs (x","y","z...)","Delete existing images (0 = No"," 1 = Yes)","Feature(Name:Value:Position)","Available online only (0 = No"," 1 = Yes)","Condition","Customizable (0 = No"," 1 = Yes)","Uploadable files (0 = No"," 1 = Yes)","Text fields (0 = No"," 1 = Yes)","Out of stock","ID / Name of shop","Advanced stock management","Depends On Stock","Warehouse"
57,1,Защитная пленка MyScreen FLY IQ458 antiReflex antiBacterial,Защитные пленки,99.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
58,1,Защитная пленка MyScreen FLY IQ456 Crystal antiBacterial,Защитные пленки,79.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
59,1,Защитная пленка MyScreen FLY IQ456 antiReflex antiBacterial,Защитные пленки,99.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
60,1,Защитная пленка MyScreen FLY IQ4511 Octa Crystal antiBacterial,Защитные пленки,79.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
61,1,Защитная пленка MyScreen FLY IQ4503 Crystal L!TE,Защитные пленки,79.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
62,1,Защитная пленка MyScreen FLY IQ4511 Octa antiReflex antiBacterial,Защитные пленки,99.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
63,1,Защитная пленка MyScreen FLY IQ4503 Crystal antiBacterial,Защитные пленки,79.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
64,1,Защитная пленка MyScreen FLY IQ4502 Quad Crystal antiBacterial,Защитные пленки,79.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
65,1,Защитная пленка MyScreen FLY IQ4503 antiReflex antiBacterial,Защитные пленки,99.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
66,1,Защитная пленка MyScreen FLY IQ4502 Quad antiReflex antiBacterial,Защитные пленки,99.0,,,,,,,,,,РАДИОЛАЙН,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
